id,Per. Ingresso,Curso,Forma de Ingresso,Sigla Cota,Escola Pública?,Coeficiente,Sexo,Idade,Situação Atual do Aluno,Período do Aluno,Em que localidade da cidade seu domicílio se encontra?,Necessita de trabalhar durante o curso?,Como pretende se locomover até a UTFPR durante o seu curso?,Motivo que o levou a escolher a UTFPR?,Principal motivo da escolha do curso:,Aprovado por Nota/Frequência,Reprovado por Nota/Frequência,Crédito Consignado,Reprovado por Nota,Aprovado em Exame de Suficiência,Aprovado por Nota,Reprovado por Frequência,Reprovado em Exame de Suficência,Reprovado,Aprovado por Frequência
uhduwn,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Cotista,Escola Pública,0.12297,M,35,Desistente,1,Bairro na região central da cidade.,"Sim, desde o início, em período integral.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão com bom mercado de trabalho.,0,15,4,1,0,0,0,0,0,0
doi5ow,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.35786,M,28,Desistente,2,Bairro na periferia da cidade.,Não.,De ônibus.,"É pouco procurada, o que torna fácil a classificação.",O curso prepara para uma profissão que promete boa renda financeira.,7,10,0,5,0,0,0,0,0,0
5ct5ow,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Cotista,Escola Pública,0.4282,M,27,Desistente,3,Bairro na periferia da cidade.,"Sim, apenas nos últimos anos.",De ônibus.,É a única na região que oferece o curso desejado.,O curso prepara para uma profissão de acordo com as minhas aptidões.,14,9,0,7,0,0,0,0,0,0
qqew9t,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.849,F,26,Formado,6,"Região rural (chácara, sítio, fazenda, aldeia, etc.).",Não sabe.,De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.,40,0,0,0,1,1,0,0,0,0
ksa6ff,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Não cotista,Escola Pública,0.76773,F,27,Desistente,4,Outro,"Sim, desde o início, em período integral.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão com bom mercado de trabalho.,18,0,0,1,0,0,0,0,0,0
59cswn,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Não cotista,Escola Pública,0.7816,M,28,Formado,6,Bairro na região central da cidade.,"Sim, apenas nos últimos anos.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão que promete boa renda financeira.,41,0,0,1,1,1,0,0,0,0
u3+1wn,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.8441,M,26,Formado,6,Bairro na região central da cidade.,Não.,Outra forma.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão com bom mercado de trabalho.,40,0,0,0,0,1,0,0,0,0
fmt5ow,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.7275,M,25,Formado,6,Bairro na periferia da cidade.,"Sim, desde o início, em período parcial.",Outra forma.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.,39,0,2,8,1,1,0,0,0,0
x8o9ff,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Não cotista,Escola Pública,0.3883,M,27,Desistente,2,Bairro na periferia da cidade.,Não sabe.,Através de algum familiar que possui automóvel.,É a que oferece o horário adequado.,O curso prepara para uma profissão de acordo com as minhas aptidões.,6,7,7,4,4,0,0,0,0,0
+4jfnz,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Não cotista,Escola Pública,0.8245,M,48,Formado,6,Bairro na região central da cidade.,"Sim, desde o início, em período integral.",De ônibus.,É a que oferece o melhor curso pretendido.,Horário mais compatível com outras atividades.,39,0,0,1,1,1,0,0,0,0
8wyygf,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Cotista,Escola Pública,0.7215,F,25,Formado,6,"Região rural (chácara, sítio, fazenda, aldeia, etc.).",Não sabe.,Outra forma.,Incerteza de ser classificado em outra instituição.,O curso prepara para uma profissão de acordo com as minhas aptidões.,40,4,3,6,0,1,0,0,0,0
kjuh5c,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Cotista,Escola Pública,0.6756,F,27,Formado,6,Bairro na periferia da cidade.,"Sim, desde o início, em período parcial.",De ônibus.,É a única na região que oferece o curso desejado.,O curso prepara para uma profissão com bom mercado de trabalho.,40,0,2,10,0,1,0,0,0,0
6kkijk,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Não cotista,Escola Particular,0.7103,M,41,Formado,6,Bairro na região central da cidade.,"Sim, desde o início, em período integral.",De automóvel próprio.,Satisfaz as condições socioeconômicas da família.,O curso prepara para uma profissão de acordo com as minhas aptidões.,35,2,5,7,0,1,0,0,0,1
bfjijk,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Não cotista,Escola Pública,0.7386,M,30,Formado,6,Bairro na região central da cidade.,"Sim, desde o início, em período integral.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.,39,0,0,3,1,1,0,0,0,0
wbwjpx,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,SISU - Sistema de Seleção Unificada,Cotista,Escola Pública,0.777,M,30,Jubilado,6,Bairro na periferia da cidade.,"Sim, desde o início, em período integral.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão com bom mercado de trabalho.,39,0,0,2,1,0,0,0,0,0
